food,mg_formate,category,blood_formate_mgL,plasma_insulin,glucose_mM,eye_ins_prod
low-formate diet,5.0,reference,0.48290755773998806,0.8218178002374489,4.793597061816236,1.9186189035805221
Pepsi 12oz,7.4,soft drink,0.4848676773163394,0.8218180594287682,4.793596262628823,1.9186553216765199
Coke 12oz,8.3,soft drink,0.4856031943083272,0.8218180792590997,4.79359620148858,1.9186689894378113
Dr Pepper 12oz,10.6,soft drink,0.48748399554392474,0.8218180808791413,4.793596196494645,1.9187039449391403
Espresso 1oz,14.3,coffee,0.49051306857288995,0.8218180810810167,4.793596195873757,1.9187602581038978
Analgesic (caffeine),23.5,medication,0.49806320933502923,0.8218180812858054,4.793596195246164,1.918900710851337
Caffeine-free diet Pepsi,26.7,diet soft drink,0.5006955027301214,0.8218180813551565,4.793596195033667,1.918949708391838
Brewed coffee 8oz,30.8,coffee,0.5040727795754929,0.8218180814430288,4.793596194764443,1.9190125957023807
Diet Pepsi 12oz,33.1,diet soft drink,0.5059696387467996,0.8218180814923377,4.793596194613368,1.9190479277432488
Diet Mountain Dew 12oz,37.3,diet soft drink,0.5094377179528237,0.8218180815824363,4.793596194337324,1.9191125470559323
Diet Coke 12oz,42.8,diet soft drink,0.5139875627978832,0.821818081700574,4.793596193975373,1.9191973632467008
Caffeine pill (NoDoz),47.4,medication,0.5178001351692572,0.8218180817995198,4.793596193672222,1.919268471202203
Fruit juice 1L,300.0,whole food,0.7375053948427456,0.8218180874155638,4.793596176465749,1.9234221238027176
Animal meat 200g,700.0,whole food,1.1287966867146693,0.8218180970202286,4.793596147038902,1.9311057511112573
Creatine 1g,1000.0,whole food,1.4586656704320122,0.8218181047453845,4.7935961233705005,1.9378898174177062
