blood_formate_mgL,f,eye_ins,stable
0.5,0.14682534510785208,1.9652524619993195,True
1.0,0.14039857745818843,1.9667200656137878,True
1.5,0.13296605423255153,1.9632894401603946,True
2.0,0.1250608109310161,1.9579852032997522,True
2.5,0.11969701056313628,1.9661717520152726,True
3.0,0.11748578217454442,1.9901681175030979,True
4.0,0.11293765550222204,2.0366188437046633,True
5.0,0.10651441579330995,2.0723645965836983,True
7.0,0.09170795255823279,2.1330799039190738,True
10.0,0.0803239952442599,2.2738072996493726,True
15.0,0.07638030172993295,2.518107574687604,True
20.0,0.07586292729128961,2.6223998316937465,True
30.0,0.07586289370401561,2.6224091663697977,True
