group,D_diet,glucose_mM,insulin,formate_mM,formate_mgL,bc_formate,urate_mgdL
"lean, non-diabetic",0.01,4.793597039639129,0.821817807474151,0.01668581006058986,0.7680478370889512,0.3292616132288166,3.3996512237305416
"lean, non-diabetic",0.028749999999999998,4.793596193047566,0.8218180821394981,0.03065294733186687,1.4109551656858321,0.34323203401409547,3.432824238512985
"lean, non-diabetic",0.0475,4.793596079439932,0.8218181190945588,0.04758828121179592,2.1904885841789663,0.3601675824206891,3.4730454371487953
"lean, non-diabetic",0.06624999999999999,4.793596019370969,0.8218181386907382,0.06735963690207253,3.1005640866023985,0.3799389158691174,3.5199932248996584
"lean, non-diabetic",0.08499999999999999,4.793595963378042,0.8218181569655788,0.0895928785028159,4.123960197484616,0.4021721166065939,3.5727658442337207
"lean, non-diabetic",0.10375,4.793595909408982,0.8218181745805447,0.11381342225026393,5.2388318261796485,0.4263926193566383,3.630218101036046
"lean, non-diabetic",0.12249999999999998,4.793595858441455,0.8218181912158962,0.13956763903325461,6.42429842470071,0.45214679728922935,3.691251203306926
"lean, non-diabetic",0.14125000000000001,4.793595811077412,0.8218182066751002,0.16648062307267955,7.66310308003544,0.4790597452304253,3.754951257594447
"lean, non-diabetic",0.16,4.793595767493747,0.8218182209004253,0.19426522018952805,8.942028085323976,0.5068443091245005,3.8206111005876564
"lean diabetic, formate-replete",0.01,6.260855958295413,0.4551500130333547,0.02016420492642448,0.9281583527633188,0.3109288348486029,3.4080326724232517
"lean diabetic, formate-replete",0.028749999999999998,6.2608436976634145,0.45515234203437405,0.03706182150332361,1.7059556437979857,0.32783139556359725,3.448267780473747
"lean diabetic, formate-replete",0.0475,6.260842680549011,0.45515253537617506,0.05714713725946503,2.6304827280531757,0.3479170375545029,3.4960838829316705
"lean diabetic, formate-replete",0.06624999999999999,6.260842527768005,0.45515256450735325,0.0799216378106185,3.67879298842277,0.37069150929109107,3.5502789897833305
"lean diabetic, formate-replete",0.08499999999999999,6.260842447806525,0.455152579799344,0.10477672992143046,4.8228728782834445,0.39554654646501564,3.6093836137393995
"lean diabetic, formate-replete",0.10375,6.260842377933552,0.4551525931677842,0.1311664542921277,6.037591891066638,0.42193621775421175,3.672074271829339
"lean diabetic, formate-replete",0.12249999999999998,6.260842314378317,0.4551526053280994,0.1586688052893362,7.303525107468145,0.4494385199269576,3.737321104268117
"lean diabetic, formate-replete",0.14125000000000001,6.260842256695153,0.45515261636493504,0.18697953857352062,8.606668160539154,0.47774920885986594,3.804373431985546
"lean diabetic, formate-replete",0.16,6.260842204512559,0.4551526263493348,0.2158851545934933,9.937193665938498,0.5066547847400245,3.8726942363890444
"lean diabetic, formate-deficient",0.01,6.98347040571983,0.3311953245152486,0.022499102628816405,1.035633694004419,0.0010485870191136472,3.413724889034626
"lean diabetic, formate-deficient",0.028749999999999998,6.923974733340525,0.34042358538527795,0.040843803314170084,1.880040266551249,0.0011667670502572894,3.4574872829130965
"lean diabetic, formate-deficient",0.0475,6.856364779748932,0.3511048458983627,0.061973848696522116,2.852656255500913,0.0013061800072284942,3.5078542353970183
"lean diabetic, formate-deficient",0.06624999999999999,6.784156039063078,0.362747749201743,0.08525554968276434,3.924312951897643,0.0014640278337969298,3.5632934861637744
"lean diabetic, formate-deficient",0.08499999999999999,6.710699731358363,0.3748489016578461,0.11012646837316273,5.0691213392166805,0.0016377779205420829,3.622443955134207
"lean diabetic, formate-deficient",0.10375,6.6386345405391225,0.3869811204650559,0.1361665262333469,6.267745202520958,0.001825647856480092,3.6842855427683494
"lean diabetic, formate-deficient",0.12249999999999998,6.56982063375226,0.39881440238437993,0.16308357566238404,7.506736987739537,0.002026580059526889,3.748103691942828
"lean diabetic, formate-deficient",0.14125000000000001,6.5055555435585735,0.410091529424525,0.19067928378839474,8.776967432779811,0.002240084953857043,3.813406543331205
"lean diabetic, formate-deficient",0.16,6.447246924699233,0.4205179530712624,0.21882688431706007,10.072601485114275,0.0024661643288296196,3.879870273251903
"obese diabetic, formate-deficient",0.01,5.945987429527426,0.27994039709604807,0.0200957956401047,0.9250094733140194,0.001033296366733978,3.5135930955541244
"obese diabetic, formate-deficient",0.028749999999999998,5.928824240571723,0.28724331923449,0.0354247248551556,1.6306000850828122,0.0011315849514013266,3.63072058697777
"obese diabetic, formate-deficient",0.0475,5.9096253997037325,0.2954626743413099,0.05242463192463073,2.4131058074907528,0.0012427321085767024,3.7606076592665016
"obese diabetic, formate-deficient",0.06624999999999999,5.889033228959243,0.3043381047288948,0.07069234238573104,3.2539685200151998,0.0013647613324132783,3.900164360488634
"obese diabetic, formate-deficient",0.08499999999999999,5.86765847313828,0.3136167289567684,0.08990027375266438,4.138109600835142,0.001496068329578169,4.046878183050383
"obese diabetic, formate-deficient",0.10375,5.846020305407072,0.323078808535038,0.10980799087002203,5.0544618197471145,0.0016355208608373605,4.198902732840518
"obese diabetic, formate-deficient",0.12249999999999998,5.824533872722112,0.3325441021407075,0.13024644272000632,5.995243758401891,0.0017823897963839639,4.354936837973266
"obese diabetic, formate-deficient",0.14125000000000001,5.803519672375859,0.3418691588929946,0.15109798423066628,6.955040214137569,0.001936246695930754,4.514070969101215
"obese diabetic, formate-deficient",0.16,5.783223815473225,0.3509397836237485,0.1722803036218559,7.930062375714027,0.0020968792625876147,4.675663255847963
