param,dir,value,SI,FS,converged,SI_rel,FS_rel
(baseline),-,,5.499999999825144,1.4829081848973988,True,1.0,1.0
v_pur,down,0.15,4.615681667785621,1.0000038027600178,True,0.839214848714975,0.6743531480536047
v_pur,up,0.6,5.064474695113903,1.7626948502247441,True,0.920813580959075,1.1886743010638272
BASALFUEL,down,0.11985043003666651,6.383453354074328,1.4644027844611982,True,1.1606278825958674,0.987520872414983
BASALFUEL,up,0.47940172014666604,4.512142328899305,1.5011477599919414,True,0.82038951437141,1.0122998681107183
Kmp,down,0.06,5.227760131395988,1.3149440463093593,True,0.9505018421022162,0.8867332851091784
Kmp,up,0.24,5.189904088295785,1.309966266873967,True,0.9436189251746877,0.8833765166415899
hmp,down,1.0,5.099384714526761,1.2238708187543208,True,0.92716085721616,0.8253180009516229
hmp,up,4.0,6.319818166134307,1.930817425666831,True,1.1490578484245866,1.3020478579396488
Kec,down,0.425,5.25558452325788,1.6692176960224565,True,0.9555608224409028,1.125637927568623
Kec,up,1.7,4.613158317210409,1.0888535162721507,True,0.8387560577012856,0.7342690042185501
hec,down,2.0,5.205314236409468,1.4521068243012856,True,0.9464207702863555,0.9792290845044838
hec,up,8.0,6.033943926980111,1.5367302435441155,True,1.0970807140312622,1.0362949366622052
k_ins,down,10.0,5.499578783983089,1.48304360938826,True,0.999923415301442,1.0000913235844542
k_ins,up,40.0,5.500836670394779,1.48263616085455,True,1.0001521219217566,0.9998165604279353
k_mat,down,1.5,5.499999999825128,1.4829081848974446,True,0.9999999999999971,1.0000000000000309
k_mat,up,6.0,5.4999999998251665,1.4829081848973642,True,1.000000000000004,0.9999999999999767
B_MTOR,down,0.13169655023800403,6.206446708929132,1.8456706519003214,True,1.1284448562048086,1.2446290813534229
B_MTOR,up,0.5267862009520161,4.78618767054243,1.1875737651700236,True,0.8702159401262896,0.8008410616819077
cost_ins,down,0.01,5.4995787839830905,1.48304360938832,True,0.9999234153014424,1.0000913235844946
cost_ins,up,0.04,5.500836670394823,1.4826361608545502,True,1.0001521219217646,0.9998165604279354
Ktrig,down,6.0,5.460381009829168,1.4829081848974053,True,0.9927965472732297,1.0000000000000044
Ktrig,up,24.0,5.4940247548705035,1.4829081848974044,True,0.9989135918263944,1.0000000000000038
htrig,down,2.0,5.4630947899223905,1.482908184897354,True,0.9932899618356497,0.9999999999999698
htrig,up,8.0,5.509497755671721,1.4829081848973547,True,1.0017268646994326,0.9999999999999702
B_TRIG,down,0.025,5.5520990264277055,1.4829081848974057,True,1.009472550291676,1.0000000000000047
B_TRIG,up,0.1,5.468911239218336,1.4829081848974053,True,0.9943474980713097,1.0000000000000044
k_sec,down,3.0,5.561618675585222,1.4829081848974053,True,1.0112033955930975,1.0000000000000044
k_sec,up,12.0,5.469148527307964,1.4829081848974528,True,0.9943906413603344,1.0000000000000364
k_amp_syn,down,1.0,5.258354596772546,1.5445098608909649,True,0.956064472170858,1.0415411261607057
k_amp_syn,up,4.0,5.533577844916538,1.3635438260420045,True,1.0061050627440837,0.9195065749376432
k_gmp_syn,down,1.0,5.587015227493093,1.3654158387640598,True,1.0158209504855846,0.9207689678093804
k_gmp_syn,up,4.0,5.220046409927547,1.5420765618771615,True,0.9490993472897277,1.0399002295505277
k_imp_deg,down,0.5,5.452561471314599,1.4808804309174106,True,0.9913748129978085,0.9986325829200757
k_imp_deg,up,2.0,5.586893555531301,1.4866249936881684,True,1.0157988283107127,1.0025064321774086
Vmax_samp,down,0.028826972931988215,4.893102742887835,1.4084882244945558,True,0.8896550441897083,0.9498148562663763
Vmax_samp,up,0.11530789172795286,5.835747494024363,1.5337787500136615,True,1.0610449989472532,1.0343045952772743
k_amp_deg,down,0.25,5.717855484683604,1.4795548755541115,True,1.0396100881573427,0.9977386938871611
k_amp_deg,up,1.0,5.317057975627452,1.4883489512116097,True,0.9667378137811803,1.0036689839395467
k_ade_turn,down,0.015,6.100332302917421,1.429694547547423,True,1.1091513278384295,0.9641153525943633
k_ade_turn,up,0.06,4.988228716702258,1.5051315001710652,True,0.9069506757928806,1.014986305625661
Khx,down,0.01,5.499999999825166,1.4829081848974057,True,1.0000000000000038,1.0000000000000047
Khx,up,0.04,5.499999999825128,1.482908184897399,True,0.9999999999999971,1.0000000000000002
k_urate,down,1.5,5.499999999825129,1.482908184897459,True,0.9999999999999972,1.0000000000000406
k_urate,up,6.0,5.49999999982519,1.482908184897452,True,1.0000000000000082,1.0000000000000357
FMITO,down,0.25,5.499996252541124,1.7372612782208465,True,0.9999993186756327,1.171523156938436
FMITO,up,1.0,5.500000574877869,1.1366387182918283,True,1.0000001045550408,0.7664929830908387
